Name,Tier,Type,Description,Motives and Tactics,Difficulty,Thresholds,HP,Stress,ATK,Attack,Range,Damage,Experience,Feature 1 Name,Feature 1 Text,Feature 2 Name,Feature 2 Text,Feature 3 Name,Feature 3 Text,Feature 4 Name,Feature 4 Text,Feature 5 Name,Feature 5 Text,Feature 6 Name,Feature 6 Text,Feature 7 Name,Feature 7 Text
Weaponmaster,1,Bruiser,A master-at-arms wielding a sword twice their size.,"Act fi rst, aim for the weakest, intimidate",14,8/15,6,3,+2,Claymore,Very Close,1d12+2 phy,Darkness +3,Goading Strike,"Make a standard attack against a target. On a success, mark a Stress to Taunt the target until their next successful attack. The next time the Taunted target attacks, they have disadvantage against targets other than the Weaponmaster.",Adrenaline Burst,"Once per scene, spend a Fear to clear 2 HP and 2 Stress.",Momentum,"When the Weaponmaster makes a successful attack against a PC, you gain a Fear. WILL-O’-THE-WISPS Tier  Horde (/HP) Lazily fl oating orbs of color-shifting werelight. Motives & Tactics: Dazzle and distract, disorient, lead astray Diffi culty: 9 | Thresholds: 5/9 | HP: 4 | Stress: 2 ATK: −3 | Flash: Close | 1d4+2 mag Experience: Darkness +3 FEATURES",Horde (1d4−1),"When the Will-o’-the-Wisps have marked half or more of their HP, their standard attack deals 1d4−1 magic damage instead.",Kaleidoscopic,"The Will-o’-the-Wisps pulse and dance in hypnotic, color-changing patterns that entrance any creature who looks upon them. All targets within Very Close range of the Will-o’-the-Wisps are Vulnerable.",Fascinating,"Spend a Fear to have the Will-o’-the-Wisps trace looping light trails through the air, leaving afterimages that beg to be deciphered. Each PC within Far range must succeed on an Instinct Reaction Roll (13) or mark a Stress and move up to Close range toward the Will-o’-the-Wisps.",,
Young Dryad,1,Leader,An imperious tree-person leading their forest’s defenses.,"Command, nurture, prune the unwelcome",11,6/11,6,2,+0,Scythe,Melee,1d8+5 phy,Leadership +3,Voice of the Forest,"Mark a Stress to spotlight 1d4 allies within range of a target they can attack without moving. On a success, their attacks deal half damage.",Thorny Cage,"Spend a Fear to form a cage around a target within Very Close range and Restrain them until they’re freed with a successful Strength Roll. When a creature makes an action roll against the cage, they must mark a Stress.",Momentum,"When the Dryad makes a successful attack against a PC, you gain a Fear. 112 Daggerheart SRD",,,,,,,,
Brawny Zombie,1,Bruiser,"A large corpse, decay-bloated and angry.","Crush, destroy, hail debris, slam",10,8/15,7,4,+2,Slam,Very Close,1d12+3 phy,"Collateral Damage +2, Throw +4",Slow,"When you spotlight the Zombie and they don’t have a token on their stat block, they can’t act yet. Place a token on their stat block and describe what they’re preparing to do. When you spotlight the Zombie and they have a token on their stat block, clear the token and they can act.",Rend Asunder,"Make a standard attack with advantage against a target the Zombie has Restrained. On a success, the attack deals direct damage.",Rip and Tear,"When the Zombies makes a successful standard attack, you can mark a Stress to temporarily Restrain the target and force them to mark 2 Stress.",,,,,,,,
Patchwork Zombie Hulk,1,Solo,"A towering gestalt of corpses moving as one, with torso-sized limbs and fi sts as large as a grown halfl ing.","Absorb corpses, fl ail, hunger, terrify",13,8/15,10,3,+4,Too Many Arms,Very Close,1d20 phy,"Intimidation +2, Tear Things Apart +2",Destructible,"When the Zombie takes Major or greater damage, they mark an additional HP.",Flailing Limbs,"When the Zombie makes a standard attack, they can attack all targets within Very Close range.",Another for the Pile,"When the Zombie is within Very Close range of a corpse, they can incorporate it into themselves, clearing a HP and a Stress.",Tormented Screams,Mark a Stress to cause all PCs within Far range to make a Presence Reaction Roll (13). Targets who fail lose a Hope and you gain a Fear for each. Targets who succeed must mark a Stress.,,,,,,
Rotted Zombie,1,Minion,A decaying corpse ambling toward their prey.,"Eat fl esh, hunger, maul, surround",8,None,1,1,−3,Bite,Melee,2 phy,,Minion (3),"The Zombie is defeated when they take any damage. For every 3 damage a PC deals to the Zombie, defeat an additional Minion within range the attack would succeed against.",Group Attack,"Spend a Fear to choose a target and spotlight all Rotted Zombies within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 2 physical damage each. Combine this damage.",,,,,,,,,,
Shambling Zombie,1,Standard,"An animated corpse that moves shakily, driven only by hunger.","Devour, hungry, mob enemy, shred fl esh",10,4/6,4,1,+0,Bite,Melee,1d6+1 phy,,Too Many to Handle,"When the Zombie is within Melee range of a creature and at least one other Zombie is within Close range, all attacks against that creature have advantage.",Horrifying,"Targets who mark HP from the Zombie’s attacks must also mark a Stress. ZOMBIE PACK Tier  Horde (/HP) A group of shambling corpses instinctively moving together. Motives & Tactics: Consume fl esh, hunger, maul Diffi culty: 8 | Thresholds: 6/12 | HP: 6 | Stress: 3 ATK: −1 | Bite: Melee | 1d10+2 phy FEATURES",Horde (1d4+2),"When the Zombies have marked half or more of their HP, their standard attack deals 1d4+2 physical damage instead.",Overwhelm,"When the Zombies mark HP from an attack within Melee range, you can mark a Stress to make a standard attack against the attacker. Daggerheart SRD 113",,,,,,
Apprentice Assassin,2,Minion,A young trainee eager to prove themselves.,"Act reckless, kill, prove their worth, show off",13,None,1,1,−1,Thrown Dagger,Very Close,4 phy,Intrusion +2,Minion (),"The Assassin is defeated when they take any damage. For every 6 damage a PC deals to the Assassin, defeat an additional Minion within range the attack would succeed against.",Group Attack,"Spend a Fear to choose a target and spotlight all Apprentice Assassins within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 4 physical damage each. Combine this damage.",,,,,,,,,,
Assassin Poisoner,2,Skulk,A cunning scoundrel skilled in both poisons and ambushing.,"Anticipate, get paid, kill, taint food and water",14,8/16,4,4,+3,Poisoned Throwing Dagger,Close,2d8+1 phy,Intrusion +2,Grindletooth Venom,Targets who mark HP from the Assassin’s attacks are Vulnerable until they clear a HP.,Out of Nowhere,The Assassin has advantage on attacks if they are Hidden.,Fumigation,"Drop a smoke bomb that fi lls the air within Close range with smoke, Dizzying all targets in this area. Dizzied targets have disadvantage on their next action roll, then clear the condition. 114 Daggerheart SRD",,,,,,,,
Master Assassin,2,Leader,A seasoned killer with a threatening voice and a deadly blade.,"Ambush, get out alive, kill, prepare",15,12/25,7,5,+5,Serrated Dagger,Close,2d10+2 phy,"Command +3, Intrusion +3",Won’t See It Coming,The Assassin deals direct damage while they’re Hidden.,Strike as One,Mark a Stress to spotlight a number of other Assassins equal to the Assassin’s unmarked Stress.,The Subtle Blade,"When the Assassin successfully makes a standard attack against a Vulnerable target, you can spend a Fear to deal Severe damage instead of their standard damage.",Momentum,"When the Assassin makes a successful attack against a PC, you gain a Fear.",,,,,,
Banshee,2,Skulk,A corrupted fey spirit that haunts the night in the form of a willowy specter wearing a luminous gossamer gown.,"Ambush from inside solid objects, frighten to",14,9/18,5,3,+2,Fingernails,Melee,2d6+1 mag,"Vain +3, Wrathful +3",Specter,The Banshee has resistance to physical damage. Mark a Stress to move up to Close range through solid objects.,Terrifying,"When the Banshee makes a successful attack, all PCs within Close range lose a Hope, and you gain a Fear.",Scare Tactic,"Up to three times per scene, spend a Fear to have the Banshee teleport up to Very Far range and scare a PC within Melee range. The PC marks 1d4 Stress. If this causes them to mark HP, they also lose a Hope.",Wail of Despair,Mark a Stress to have the Banshee unleash a mournful scream of pain and anguish. Each PC within Close range must make a Presence Reaction Roll. Targets who succeed take 1d12+1 magic damage. Targets who fail take double damage and are knocked back to Close range.,,,,,,
Basilisk,2,Standard,"A six-legged monitor lizard that has the head of a vulture, a spiked backbone, and a petrifying gaze.","Move slow and steady, savor petrifi ed prey,",14,8/19,4,4,+1,Jaws & Claws,Melee,2d6+4 phy,,Petrify,"Spend a Fear to force a PC within Far range to make an Instinct Reaction Roll. On a success, the target marks a Stress. On a failure, the target becomes Stiff . If the target is already Stiff , they become Petrifi ed. While Stiff , the PC must mark a Stress each time they act until they take a rest or the Basilisk is defeated. While Petrifi ed, the PC can’t act. The Petrifi ed condition can be cleared only by applying Basilisk saliva to the target.",CRONCH!,Mark a Stress to have the Basilisk chomp down on a Petrifi ed PC within Melee range. The target must make a death move.,,,,,,,,,,
Battle Box,2,Solo,A cube-shaped construct with a diff erent rune on each of their six sides.,"Change tactics, trample foes, wait in disguise",15,10/20,8,6,+2,Slam,Melee,2d6+3 phy,Camoufl age +2,Relentless (2),The Box can be spotlighted up to two times per GM turn. Spend Fear as usual to spotlight them.,Randomized Tactics,"Mark a Stress and roll a d6. The Box uses the corresponding move: 1. Mana Beam. The Box fi res a searing beam. Make an attack against a target within Far range. On a success, deal 2d10+2 magic damage. 2. Fire Jets. The Box shoots into the air, spinning and releasing jets of fl ame. Make an attack against all targets within Close range. Targets the Box succeeds against take 2d8 physical damage. 3. Trample. The Box rockets around erratically. Make an attack against all PCs within Close range. Targets the Box succeeds against take 1d6+5 physical damage and are Vulnerable until their next roll with Hope. 4. Shocking Gas. The Box sprays out a silver gas sparking with lightning. All targets within Close range must succeed on a Finesse Reaction Roll or mark 3 Stress. 5. Stunning Clap. The Box leaps and their sides clap, creating a small sonic boom. All targets within Very Close range must succeed on a Strength Reaction Roll or become Vulnerable until the cube is defeated. 6. Psionic Whine. The Box releases a cluster of mechanical bees whose buzz rattles mortal minds. All targets within Close range must succeed on a Presence Reaction Roll or take 2d4+9 direct magic damage.",Overcharge,"Before rolling damage for the Box’s attack, you can mark a Stress to add a d6 to the damage roll. Additionally, you gain a Fear.",Death Quake,"When the Box marks their last HP, the magic powering them ruptures in an explosion of force. All targets within Close range must succeed on an Instinct Reaction Roll or take 2d8+1 magic damage.",,,,,,
Berserker Alpha,2,Leader,A veteran commander who quaff s magic elixirs to change into a beast and lead their packmates on a hunt.,"Embrace the change, howl at the moon, lead",14,13/26,6,4,+3,Tooth & Claw,Melee,2d10+2 phy,"Hunt +3, Keen Senses +2",Pack Fury,The Alpha gains a +1 bonus to their attack rolls for each ally within Very Close range of their attack’s target.,Bark at the Moon,"Once per scene, spend a Fear to have each ally within Close range of the Alpha clear a HP and a Stress.",Berserker Rage,"The fi rst time in a scene the Alpha marks their last Stress, they gain a +6 bonus to damage rolls.",,,,,,,,
Berserker Initiate,2,Standard,A raging warrior who imbibes ritualistic concoctions to enhance their form with aspects of a predatory beast.,"Coordinate with packmates, dance around the",13,9/18,4,3,+1,Tooth & Claw,Melee,2d10 phy,Hunt +3,Pack Fury,The Initiate gains a +1 bonus to their attack rolls for each ally within Very Close range of their attack’s target.,Berserker Rage,"The fi rst time in a scene the Initiate marks their last Stress, they gain a +4 bonus to damage rolls.",,,,,,,,,,
Centaur Warden,2,Ranged,"A half-human, half-horse guardian who patrols the borders of idyllic lands uncorrupted by the touch of civilization.","Live in harmony with nature, protect the",14,10/19,5,3,+2,Recurved Bow,Far,2d8+4 phy,"Nature +2, Philosophy +2",Flanking Maneuver,"When the Warden makes a standard attack against a target within Melee range of one or more of the Warden’s allies, the Warden gains a +2 bonus to the attack roll.",Eye of the Sage,Mark a Stress to make a standard attack. The Warden has advantage on the attack roll and critically succeeds on a roll of 19–20.,Trample,Spend a Fear to have the Warden gallop up to Far range in a straight line. Each target in their path must make an Agility Reaction Roll. Targets who succeed take 1d6+2 physical damage. Targets who fail take double damage and must mark a Stress.,Quick Volley,"When the Warden makes a standard attack, you can mark any number of Stress to target an equal number of additional creatures within range. Daggerheart SRD 115",,,,,,
Chaos Skull,2,Ranged,A fl oating humanoid skull animated by scintillating magic.,"Cackle, consume magic, serve creator",15,8/16,5,4,+2,Energy Blast,Close,2d8+3 mag,,Levitation,The Skull levitates several feet off the ground and can’t be Restrained.,Wards,The Skull is resistant to magic damage.,Magic Burst,Mark a Stress to make an attack against all targets within Close range. Targets the Skull succeeds against take 2d6+4 magic damage.,Siphon Magic,"Spend a Fear to make an attack against a PC with a Spellcast trait within Very Close range. On a success, the target marks 1d4 Stress and the Skull clears that many Stress. Additionally, on a success, the Skull can immediately be spotlighted again.",,,,,,
Chicken-Foot Hut,2,Bruiser,A tall wooden shack that moves around on giant chicken legs.,"Claw, protect master, run and jump, trample",16,14/27,8,2,+2,Clawed Feet,Very Close,2d10+3 phy,Forests +2,Fast,The Hut can move up to Far range when spotlighted.,Double Strike,"Mark a Stress to make two standard attacks. If both attacks succeed against the same target, combine the damage.",Pin,"When the Hut makes a successful standard attack, you can mark a Stress to temporarily Restrain the target. The Hut drags the Restrained target when it moves.",,,,,,,,
Conscript,2,Minion,A poorly trained civilian pressed into war.,"Follow orders, gang up, survive",12,None,1,1,+0,Spears,Very Close,6 phy,,Minion (),"The Conscript is defeated when they take any damage. For every 6 damage a PC deals to the Conscript, defeat an additional Minion within range the attack would succeed against.",Group Attack,"Spend a Fear to choose a target and spotlight all Conscripts within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 6 physical damage each. Combine this damage. 116 Daggerheart SRD",,,,,,,,,,
Cult Fang,2,Skulk,A professional killer-turned-cultist.,"Capture sacrifi ces, isolate prey, rise in",15,9/17,4,4,+2,Long Knife,Melee,2d8+4 phy,,Shadow’s Embrace,The Fang can climb and walk on vertical surfaces. Mark a Stress to move from one shadow to another within Far range.,Pick Off the Straggler,"Mark a Stress to cause a target within Melee range to make an Instinct Reaction Roll. On a failure, the target must mark 2 Stress and is teleported with the Fang to a shadow within Far range, making them temporarily Vulnerable. On a success, the target must mark a Stress.",,,,,,,,,,
Cult Initiate,2,Minion,"A low-ranking cultist in simple robes, eager to gain power.","Follow orders, gain power, seek forbidden",13,None,1,1,+0,Ritual Dagger,Melee,5 phy,Scent Tracking +3,Minion (),"The Initiate is defeated when they take any damage. For every 6 damage a PC deals to the Initiate, defeat an additional Minion within range the attack would succeed against.",Group Attack,"Spend a Fear to choose a target and spotlight all Cult Initiates within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 5 physical damage each. Combine this damage. DEMONIC HOUND PACK Tier  Horde (/HP) Unnatural hounds lit from within by hellfi re. Motives & Tactics: Cause fear, consume fl esh, please masters Diffi culty: 15 | Thresholds: 11/23 | HP: 6 | Stress: 3 ATK: +0 | Claws and Fangs: Melee | 2d8+2 phy Experience: Scent Tracking +3 FEATURES",Horde (2d4+1),"When the Pack has marked half or more of their HP, their standard attack deals 2d4+1 physical damage instead.",Dreadhowl,"Mark a Stress to make all targets within Very Close range lose a Hope. If a target is not able to lose a Hope, they must instead mark 2 Stress.",Momentum,"When the Pack makes a successful attack against a PC, you gain a Fear.",,,,
Dire Pangolati,2,Bruiser,A carriage-sized pangolin-coati hybrid covered in armor plating. It has a bladed tail it uses to fl ing razor-sharp scales.,"Escape with a meal, slice and dice, wade into",14,14/28,7,4,+2,Tail Slash,Very Close,2d12+3 phy,"Climbing +3, Scent Tracking +3",Armor Eater,"When the Pangolati makes a successful attack against a PC, that PC must mark an additional Armor Slot to reduce the severity of the damage.",Blade Spin,Spend a Fear to have the Pangolati quickly spin in a circle. Each target within Very Close range must succeed on an Agility Reaction Roll or take 2d8 physical damage.,Blade Fling,"Mark a Stress to have the Pangolati fl ick its tail and fl ing a razor-edged armor plate. Make an attack against a target within Far range. On a success, the attack deals 2d6+10 physical damage.",Keratin Scales,"When the Pangolati would mark HP from an attack, you can mark a Stress to reduce the number of HP it marks by 1.",,,,,,
Doppelhound,2,Skulk,"A vicious magical canid that has glowing eyes and two barbed, whiplike tails. It confuses enemies by conjuring an illusory duplicate of itself.","Ambush prey, kill for sport, play with food,",14,9/17,4,5,+3,Barbed Tail Whip,Very Close,2d8+2 phy,Shadows +3,Blink Beast,"When combat begins, place a duplicate within Close range of the Doppelhound. The Doppelhound occupies both its place and its duplicate’s. The duplicate can move when the Doppelhound is spotlighted, and the Doppelhound can target enemies with attacks as if it were in its duplicate’s place. When the Doppelhound or duplicate is attacked, the attacker rolls a d6. On an even result, they target the Doppelhound. On an odd result, they target the duplicate, and the attack fails. If an attack succeeds against the Doppelhound, the duplicate is dispelled until you spend a Fear to conjure it again.",Double Strike,"Mark a Stress to make two standard attacks. If both attacks succeed against the same target, combine the damage.",,,,,,,,,,
Dragon Knight,2,Bruiser,A knight clad in dragonplate armor and a helmet in the shape of a dragon’s head.,"Exploit an opening, get some distance, knock",15,15/30,5,3,+2,Lance,Very Close,2d12+3 phy,Jousts +2,High Ground,The Knight gains advantage on attacks made against targets below them.,Leaping Strike,"Mark a Stress to have the Knight leap into Melee range of a target within Far range and make a standard attack against them. On a success, the attack deals an extra 1d12 damage, and the target must mark an Armor Slot without receiving its benefi ts (they can still use armor to reduce the damage).",Comeback,"When the Knight fails a standard attack, you can spend a Fear to reroll the attack with advantage. Daggerheart SRD 117",,,,,,,,
Elephant,2,Bruiser,A huge pachyderm that has large ears and a prehensile trunk.,"Eat vegetation, protect the herd, socialize",15,14/28,6,3,+3,Feet & Tusks,Very Close,2d12 phy,"Huge +2, Never Forgets +2",Trample,Mark a Stress to have the Elephant charge up to Far range in a straight line. Each target in its path must succeed on an Agility Reaction Roll or take 2d10+3 physical damage.,Toss,"When the Elephant makes a successful standard attack, you can spend a Fear to have it toss the target to another location within Close range and deal an extra 1d12 damage.",,,,,,,,,,
Elite Soldier,2,Standard,An armored squire or experienced commoner looking to advance.,"Gain glory, keep order, make alliances",15,9/18,4,3,+1,Spear,Very Close,2d8+4 phy,,Reinforce,"Mark a Stress to move into Melee range of an ally and make a standard attack against a target within Very Close range. On a success, deal 2d10+2 physical damage and the ally can clear a Stress.",Vassal’s Loyalty,"When the Soldier is within Very Close range of a knight or other noble who would take damage, you can mark a Stress to move into Melee range of them and take the damage instead. 118 Daggerheart SRD",,,,,,,,,,
Entombed Cat Beast,2,Solo,A large undead humanoid skeleton with a panther’s skull for a head.,"Rush attack, shred, terrify",15,12/23,7,3,+2,Razor Claws,Very Close,2d12+2 phy,Feral +2,Relentless (3),The Cat Beast can be spotlighted up to three times per GM turn. Spend Fear as usual to spotlight them.,Bloody Strike,A PC who marks 3 or more HP from an attack made by the Cat Beast must mark an additional HP.,Screeching Caterwaul,"Mark a Stress to force each PC within Far range of the Cat Beast to make a Presence Reaction Roll. Targets who fail become Rattled until they roll with Hope. When the Cat Beast makes a successful attack against a Rattled PC, roll damage twice and take the better result, then clear the Rattled condition from the target.",I Alone,"When the Cat Beast fi rst appears, you can choose to have them absorb the essence of their allies. Immediately defeat any number of allies on the battlefi eld, and gain a Fear for each ally defeated this way.",Vicious Reprisal,"When the Cat Beast takes damage from an attack made by a PC within Very Close range, you can mark a Stress to make a standard attack against that PC.",,,,
Entombed Elite Guard,2,Standard,An elite undead soldier buried with their empress to defend the tomb from theft and desecration.,"Form up, protect the empress, strike as one",15,9/18,4,3,+2,Curved Blade,Melee,2d10+2 phy,Soldier +3,Battle Formation,The Guard gains a +1 bonus to their Diffi culty for each ally within Very Close range.,Javelin,"Make an attack against a target within Very Far range. On a success, deal 2d6+2 physical damage.",,,,,,,,,,
Entombed Empress,2,Leader,The undead ruler of a forgotten realm. She’s been given blasphemous funeral rites to prevent her soul from moving on.,"Command inferiors, curse the invaders",16,12/24,6,5,+2,Swipe,Melee,2d8+2 phy,"Ruler +4, Undead +2",Empty Husk,The Empress has resistance to physical damage.,Missing Organs,"The Empress’s internal organs have been removed and placed into six crystal containers hidden throughout her tomb. Each time the PCs fi nd and destroy one, the Empress marks a HP.",Grasping Chains,"Mark a Stress to have the Empress target a creature within Close range and try to telekinetically bind them with her funeral chains. Make an attack against a target within Close range. On a success, the Empress pulls the target into Melee range, deals 2d8 physical damage, and temporarily Restrains them.",Deathless Obedience,"Up to three times per scene, you can spend a Fear to spotlight any number of allies within Close range. If any attacks succeed against the same target, combine the damage.",Accursed Caress,"When the Empress makes a successful standard attack against a PC, you can spend a Fear to activate a Doom Countdown (1d6+1) for that PC. It ticks down when a PC rolls with Fear. When it triggers, the PC marks all HP and makes a death move. If the Empress is defeated or the PCs take a rest, all Doom Countdowns end.",Final Transformation (Phase Change),"When the Empress marks her last HP, replace her with the Entombed Cat Beast and immediately spotlight them. ENTOMBED NECROPRIEST Tier  Support A necromancer charged with preserving the empress’s life beyond death. Motives & Tactics: Boost allies, conquer time, hold down enemies, serve the empress, wield death as a weapon Diffi culty: 13 | Thresholds: 8/16 | HP: 3 | Stress: 7 ATK: +2 | Death Bolt: Far | 2d6+2 mag Experience: Dark Magic +4, Protect +2 FEATURES",Invigorate,Mark a Stress to choose up to three allies within Far range. Each one gains advantage on their next attack roll.
Entombed Stonemason,2,Minion,An unfortunate undead laborer chosen by lottery to wall up their empress’s tomb from the inside.,"Never stop working, sacrifi ce yourself for the",12,None,1,1,−1,Hammer and Chisel,Melee,5 phy,Builder +2,Minion (),"The Stonemason is defeated when they take any damage. For every 5 damage a PC deals to the Stonemason, the PC defeats an additional Minion within range their attack would succeed against.",Group Attack,"Spend a Fear to choose a target and spotlight all Entombed Stonemasons within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 5 physical damage each. Combine this damage.",The Work Never Ends,"When the Stonemason is defeated by an attack that deals physical damage, you can spend a Fear to clear the Stonemason’s HP and Stress. Daggerheart SRD 119",,,,,,,,
Failed Experiment,2,Standard,"A magical necromantic experiment gone wrong, leaving them warped and ungainly.","Devour, hunt, track",13,12/23,3,3,+1,Bite and Claw,Melee,2d6+5 phy,Copycat +3,Warped Fortitude,The Experiment is resistant to physical damage.,Overwhelm,"When a target the Experiment attacks has other adversaries within Very Close range, the Experiment deals double damage.",Lurching Lunge,"Mark a Stress to spotlight the Experiment as an additional GM move instead of spending Fear. FLOCK OF FEATHER FIENDS Tier  Horde (/HP) A fl ock of undead crow corpses, eyes aglow with necroplasmic light. Motives & Tactics: Caw incessantly, claw faces, fl utter through the air, peck eyes Diffi culty: 14 | Thresholds: 10/20 | HP: 5 | Stress: 3 ATK: +0 | Peck and Claw: Melee | 2d6+2 mag Experience: Fly +2, Swarm +2 FEATURES",Horde (1d+1),"When the Flock has marked half or more of its HP, its standard attack deals 1d6+1 magic damage instead.",Maddening Cacophony,Mark a Stress to force each PC within Very Close range to make an Instinct Reaction Roll. Targets who fail must spend a Hope or become Vulnerable until they deal damage to the Flock or the Flock is defeated.,,,,
Fowlbear,2,Bruiser,A grizzly bear with a feathery hide and the head of a giant goose.,"Drive prey into an ambush, fi ght to the death,",15,14/28,7,4,+3,Goose Teeth & Bear Claws,Very Close,2d12+2 phy,"Keen Senses +3, Ponds +3",Relentless (2),The Fowlbear can be spotlighted up to two times per GM turn. Spend Fear as usual to spotlight it.,Double Strike,"Mark a Stress to make two standard attacks. If both attacks succeed against the same target, combine the damage.",Dread Honk,"Spend a Fear to have the Fowlbear unleash a terrifying, ear-splitting goose honk. Each PC within Close range must make a Presence Reaction Roll. Targets who fail must mark a Stress, move away from the Fowlbear to Far range, and become Vulnerable until the Fowlbear deals damage to them. Targets who succeed must mark a Stress or move away from the Fowlbear to Far range. 120 Daggerheart SRD",,,,,,,,
Fungispunj Sporeling,2,Minion,A halfl ing-sized mushroom creature that defends itself from attackers with tiny puff s of neurotoxic spores.,"Avoid violence, spray attackers",13,None,1,1,−1,Neuro Spore,Very Close,4 mag,Darkness +3,Minion (),"The Sporeling is defeated when it takes any damage. For every 6 damage a PC deals to the Sporeling, the PC defeats an additional Minion within range the attack would succeed against.",Group Attack,"Spend a Fear to choose a target and spotlight all Fungispunj Sporelings within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 4 magic damage each. Combine this damage.",Form Up,Spend a Fear to combine three Sporelings within a Close area and replace them with a Fungispunj Sporophore.,,,,,,,,
Fungispunj Sporophore,2,Leader,A giant mushroom creature that can command the dead.,"Awaken the fallen, defend the colony, spread",16,12/24,6,5,+2,Spongy Fist,Very Close,2d8+4 phy,"Commander +5, Guardian +4",Neurotoxic Spore Cloud,"Mark a Stress to have the Sporophore spray a cloud of spores on all targets within Close range. Each PC must succeed on a Agility Reaction Roll or become Poisoned until they spend a Hope to clear the condition. While Poisoned, a target must roll a d6 before they make an action roll. On a result of 4 or lower, they must mark a Stress.",Reanimator,"Spend a Fear to have the Sporophore spray a corpse within Very Close range with a cloud of psychic spores. The corpse clears all HP and Stress, then reanimates under the psychic control of the Sporophore. When the Sporophore is spotlighted, you can also spotlight all corpses it controls.",Colony,Mark any number of Stress to have the Sporophore summon an equal number of Fungispunj Sporelings within Close range.,Mind Meld,"All Fungispunj can telepathically communicate with one another. When the Sporophore would be forced to mark Stress from an attack, it can cause Fungispunj allies in the scene to mark that Stress in its place, distributed among allies as it chooses.",,,,,,
Gargoyle,2,Bruiser,A magically animated statue resembling a terrifying beast or demon.,"Hide in plain sight, overwatch, swoop down",13,14/28,8,2,+2,Stone Claws,Melee,2d10+3 phy,"Camoufl age +4, Ruins +3",Unliving,The Gargoyle has resistance to magic damage.,Swooping Strike,Choose a point within Far range. The Gargoyle moves to that point and makes a standard attack against one target along its path.,Petrifying Slash,"When the Gargoyle deals damage, the target must succeed on a Strength Reaction Roll or become Vulnerable. If the target is already Vulnerable, they become Restrained. If the target is already Vulnerable and Restrained, they must make a death move. The PC can spend a Hope per condition to clear it.",,,,,,,,
Giant Beastmaster,2,Leader,A leather-clad warrior bearing a whip and massive bow.,"Command, make a living, maneuver, pin down,",16,12/24,6,5,+2,Longbow,Far,2d8+4 phy,Animal Handling +3,Two as One,"When the Beastmaster is spotlighted, you can also spotlight a Tier 1 animal adversary currently under their control.",Pinning Strike,"Make a standard attack against a target. On a success, you can mark a Stress to pin them to a nearby surface. The pinned target is Restrained until they break free with a successful Finesse or Strength Roll.",Deadly Companion,"Twice per scene, summon a Bear, Dire Wolf, or similar Tier 1 animal adversary under the Beastmaster’s control. The adversary appears at Close range and is immediately spotlighted.",,,,,,,,
Giant Brawler,2,Bruiser,An especially muscular giant wielding a warhammer larger than a human.,"Make a living, overwhelm, slam, topple",15,14/28,7,4,+2,Warhammer,Very Close,2d12+3 phy,Intrusion +2,Battering Ram,"Mark a Stress to have the Brawler charge at an inanimate object within Close range they could feasibly smash (such as a wall, cart, or market stand) and destroy it. All targets within Very Close range of the object must succeed on an Agility Reaction Roll or take 2d4+3 physical damage from the shrapnel.",Bloody Reprisal,"When the Brawler marks 2 or more HP from an attack within Very Close range, you can make a standard attack against the attacker. On a success, the Brawler deals 2d6+15 physical damage instead of their standard damage.",Momentum,"When the Brawler makes a successful attack against a PC, you gain a Fear.",,,,,,,,
Giant Eagle,2,Skulk,A giant bird of prey with blood-stained talons.,"Hunt prey, stay mobile, strike decisively",14,8/19,4,4,+1,Claws and Beak,Very Close,2d6+3 phy,,Flight,"While fl ying, the Eagle gains a +3 bonus to their Diffi culty.",Deadly Dive,"Mark a Stress to attack a target within Far range. On a success, deal 2d10+2 physical damage and knock the target over, making them Vulnerable until they next act.",Take Off,"Make an attack against a target within Very Close range. On a success, deal 2d4+3 physical damage and the target must succeed on an Agility Reaction Roll or become temporarily Restrained within the Eagle’s massive talons. If the target is Restrained, the Eagle immediately lifts into the air to Very Far range above the battlefi eld while holding them.",Deadly Drop,"While fl ying, the Eagle can drop a Restrained target they are holding. When dropped, the target is no longer Restrained but starts falling. If their fall isn’t prevented during the PCs’ next action, the target takes 2d20 physical damage when they land. Daggerheart SRD 121",,,,,,
Giant Octopus,2,Solo,"A monstrous, aquatic mollusk that has eight sucker-bearing arms and a hard, beaklike jaw.","Crush and bite, grapple, harry sailing vessels,",14,13/26,10,5,+3,Arm Whip,Close,2d10 phy,Intelligent +3,Relentless (3),The Octopus can be spotlighted up to three times per GM turn. Spend Fear as usual to spotlight it.,Armed and Dangerous,"When the Octopus fi rst appears, place a d8 on this stat block with the 8 value facing up. When the Octopus makes a successful standard attack against a PC, you can add the die’s value to the damage dealt. After you add its value to a roll, decrease the die’s value by 1.",Grapple,"When the Octopus succeeds on a standard attack, you can spend a Fear to have the Octopus Grapple the target. While Grappled, the target is Restrained and Vulnerable until they break free with a successful Strength or Finesse Roll.",Crush,Mark a Stress to deal 3d8 direct physical damage to a target Grappled by the Octopus.,,,,,,
