Name,Tier,Type,Description,Impulses,Difficulty,Potential Adversaries,Feature 1 Name,Feature 1 Text,Feature 1 Question,Feature 2 Name,Feature 2 Text,Feature 2 Question,Feature 3 Name,Feature 3 Text,Feature 3 Question,Feature 4 Name,Feature 4 Text,Feature 4 Question,Feature 5 Name,Feature 5 Text,Feature 5 Question,Feature 6 Name,Feature 6 Text,Feature 6 Question
Hallowed Temple,2,Social,"A bustling but well-kept temple that provides healing and hosts regular services, overseen by a priest or seraph.","Connect the Mortal Realm with the Hallows Above, display the power of the divine, provide aid and succor to the faithful",13,"Guards (Archer Guard, Bladed Guard, Head Guard)",A Place of Healing - Passive,A PC who takes a rest in the Hallowed Temple automatically clears all HP.,What does the incense smell like? What kinds of songs do the acolytes sing?,Divine Guidance - Passive,"A PC who prays to a deity while in the Hallowed Temple can make an Instinct Roll to receive answers. If the god they beseech isn’t welcome in this temple, the roll is made with disadvantage. • Critical Success: The PC gains clear information. Additionally, they gain 1d4 Hope, which can be distributed between the party if they share the vision and guidance they received. • Success with Hope: The PC receives clear information. • Success with Fear: The PC receives brief flashes of insight and an emotional impression conveying an answer. • Any Failure: The PC receives only vague flashes. They can mark a Stress to receive one clear image without context.",What does it feel like as you are touched by this vision? What feeling lingers after the images have passed?,Relentless Hope - Reaction,"Once per scene, each PC can mark a Stress to turn a result with Fear into a result with Hope.",What emotions or memories do you connect with when fear presses in?,Divine Censure - Reaction,"When the PCs have trespassed, blasphemed, or offended the clergy, you can spend a Fear to summon a High Seraph and 1d4 Bladed Guards within Close range of the senior priest to reinforce their will.",What symbols or icons do they bear that signal they are anointed agents of the divinity? Who leads the group and what led them to this calling?,,,,,,
Haunted City,2,Exploration,An abandoned city populated by the restless spirits of eras past.,"Misdirect and disorient, replay apocalypses both public and personal",14,"Ghosts (Spectral Archer, Spectral Captain, Spectral Guardian), ghostly versions of other adversaries (see “Ghostly Form”)",Buried Knowledge - Passive,The city has countless mysteries to unfold. A PC who seeks knowledge about the fallen city can make an Instinct or Knowledge Roll to learn about this place and discover (potentially haunted) loot. • Critical Success: Gain valuable information and a related useful item. • Success with Hope: Gain valuable information. • Success with Fear: Uncover vague or incomplete information. • Any Failure: Mark a Stress to find a lead after an exhaustive search.,What greater secrets does the city contain? Why have so many ghosts lingered here? What doomed adventurers have met a bad fate here already?,Ghostly Form - Passive,Adversaries who appear here are of a ghostly form. They have resistance to physical damage and can mark a Stress to move up to Close range through solid objects.,What injuries to their physical form speak to their cause of death? What unfulfilled purpose holds them in the Mortal Plane?,Dead Ends - Action,"The ghosts of an earlier era manifest scenes from their bygone era, such as a street festival, a revolution, or a heist. These hauntings change the layout of the city around the PCs, blocking the way behind them, forcing a detour, or presenting them with a challenge, such as mistaking them for rival thieves during the heist.",What do the ghosts want from you? What do you need from them?,Apocalypse Then - Action,"Spend a Fear to manifest the echo of a past disaster that ravaged the city. Activate a Progress Countdown (5) as the disaster replays around the PCs. To complete the countdown and escape the catastrophe, the PCs must overcome threats such as rampaging fires, stampeding civilians, collapsing buildings, or crumbling streets, while recalling history and finding clues to escape the inevitable.","Is this the disaster that led the city to be abandoned? What is known about this disaster, and how could that help the PCs escape?",,,,,,
Heist,2,Event,The party must gain access to a hidden or well-protected location to acquire the information or items secured within.,"Make the party prepare, split them up, throw up obstacles, trap them inside, use up their resources",14,"Head Guard, Minotaur Wrecker, Secret- Keeper, Spectral Guardian",Prep Work - Passive,"Prior to the Heist, each PC has the opportunity to gather a key piece of information, surveil the location, or acquire a helpful tool or resource. Give each player the opportunity to describe one obstacle they expect to encounter and how they set themselves up to overcome it, then have them make an action roll. On a success, they get the information or asset they sought. On a success with Fear, it’s less useful than they expected (for example, they discover the location of a hidden access point but learn that breaching it will likely be difficult and noisy).",How does the PC gain this advantage? Do they go it alone or ask for help? What unforeseen complications arise during the heist itself?,Infi ltration - Passive,"Establish the goal of the Heist and start two dynamic countdowns: a Progress Countdown (12) to represent the party’s work toward their goal and a Consequence Countdown (10) to represent the rising risk of discovery and capture. Advance both according to the Dynamic Countdown Advancement table as the PCs make action rolls to complete the Heist. If the Progress Countdown triggers first, spotlight this environment to use the “Exfi ltration” feature. If the Consequence Countdown triggers first, gain 1d4 Fear, spotlight this environment, and use the “Sound the Alarm” feature.","What is the party going after, and where is it located? What unexpected obstacles will they encounter? What happens if the party gets caught?",Saw This Coming - Passive,"Once per session, a PC can spend a Hope to explain how they prepared for the current situation and reveal a key piece of information (such as the location of a hidden passage or the password to a restricted area) or produce a helpful item (such as a cultist’s uniform left unattended or a common consumable hidden in their boot).","What did the PC prepare in advance? How did they know they’d need it? What did it cost them to set up, or whom do they owe a favor to?",Exfi ltration - Reaction,"When the Progress Countdown triggers, the party acquires the object of the Heist and must succeed on a group action roll to escape without capture. On a failure, each PC takes 2d12 direct physical damage and must mark a Stress.",What makes getting out even more dangerous than getting in? What unforeseen developments stymie the party’s original escape plan?,Sound the Alarm - Reaction,"When the Consequence Countdown triggers, the party is discovered and the location enters High Alert. Summon a number of Tier 2 adversaries equal to the number of PCs in the scene and immediately spotlight one. While this environment is on High Alert, all adversaries gain a +1 bonus to their Diffi culty.",What makes these adversaries uniquely suited to guard this location? What do they know about this place that gives them an edge?,,,
Masquerade Ball,2,Social,A high society gala where masked revelers trade secrets and favors.,"Dance the night away, eat and be merry, make secret deals, trade valuable information",14,"Operatives (Masked Thief, Master Assassin, Spy), Revelers (Courtesan, Merchant Baron, Royal Advisor)",Costumes Required - Passive,Everyone at the ball is expected to arrive in costume. PCs have advantage on Presence Rolls to convince others they are someone—or something—they’re not.,What do the PCs come dressed as? What do their costumes reveal about their true selves?,“Care to Dance?” - Passive,"While dancing, a PC can make an Agility Roll instead of a Presence Roll to influence others.",What’s notable or unique about the dances that are in fashion here? Where did the PCs learn how to perform them?,Mistaken Identity - Action,"A very important person confuses a PC with an even more important person. The target can play into the misunderstanding with a Presence Reaction Roll. On a success, the PC can ask the VIP to perform a favor, relay a key piece of information, or make an introduction. On a failure, the PC marks a Stress as their true identity is discovered, and they are threatened with ejection from the party.",Who does the VIP mistake them for? What doors does their mistake open? What dangers does it bring?,Cloak and Dagger - Action,"Spend a Fear to have an operative try to steal something valuable or assassinate someone important. A PC can make an Instinct Roll to try to notice them before they achieve their objective. On a success, the PC gains the opportunity to intervene. On a failure with Fear, the PC is erroneously implicated in the crime.",Who does the operative work for? Why did they send them to the masquerade?,,,,,,
Mountain Pass,2,Traversal,"Stony peaks that pierce the clouds, with a twisting path winding its way up and over through many switchbacks.","Exact a chilling toll in supplies and stamina, reveal magical tampering, slow down travel",15,"Beasts (Bear, Giant Eagle, Glass Snake), Chaos Skull, Minotaur Wrecker, Mortal Hunter",Engraved Sigils - Passive,"Large markings and engravings have been made in the mountainside. A PC with a relevant background or Experience identifies them as weather magic increasing the power of the icy winds. A PC who succeeds on a Knowledge Roll can recall information about the sigils, potential information about their creators, and the knowledge of how to dispel them. If a PC critically succeeds, they recognize that the sigils are of a style created by ridgeborne enchanters and they gain advantage on a roll to dispel the sigils.",Who laid this enchantment? Are they nearby? Why did they want the weather to be more daunting?,Avalanche - Action,"Spend a Fear to carve the mountain with an icy torrent, causing an avalanche. All PCs in its path must succeed on an Agility or Strength Reaction Roll or be bowled over and carried down the mountain. A PC using rope, pitons, or other climbing gear gains advantage on this roll. Targets who fail are knocked down the mountain to Far range, take 2d20 physical damage, and must mark a Stress. Targets who succeed must mark a Stress.",How do the PCs try to weather the avalanche? What approach do the characters take to find one another when their companions go hurtling down the mountainside?,Raptor Nest - Reaction,"When the PCs enter the raptors’ hunting grounds, two Giant Eagles appear at Very Far range of a chosen PC, identifying the PCs as likely prey.","How long has it been since the eagles last found prey? Do they have eggs in their nest, or unfledged young?",Icy Winds - Reaction,"Countdown (Loop 4). When the PCs enter the mountain pass, activate the countdown. When it triggers, all characters traveling through the pass must succeed on a Strength Reaction Roll or mark a Stress. A PC wearing clothes appropriate for extreme cold gains advantage on these rolls.",What parts of the PC’s bodies go numb first? How do they try to keep warm as they press forward?,,,,,,
Ocean Voyage,2,Traversal,The PCs gain passage to a far-offdestination by offering their labor in exchange.,"Reveal what lurks beneath the waves, send them in the wrong direction, sink the ship, use up their resources",14,"Deep Sea Denizens (Electric Eels, Kraken, Shark, Siren), Pirates (Pirate Captain, Pirate Raiders)",Open Water - Passive,Countdown (8). Reaching their destination requires the party to complete the Open Water Countdown. It ticks down when a PC succeeds on an action roll to aid the ship’s journey.,Where is the ship headed? What dangers along the route do the crew speak about in hushed tones?,Rations Run Low - Passive,"The first time a PC rolls a failure with Fear on this journey, the crew discovers that the food and fresh water in the ship’s hold have been befouled by pests and mold. Until the party reaches its destination, a PC who makes an action roll to advance the Open Water Countdown must succeed on a Strength Reaction Roll or mark a Stress first.",What happened to the rations? What drastic measures does the crew take to ensure they don’t all die of hunger and thirst?,“Pirates!” - Action,"Spend a Fear to have a crewmember in the crow’s nest spy black sails on the horizon! Start a Consequence Countdown (4). If it triggers before the party reaches their destination, the pirates catch up to the ship and board it. Gain a Fear, then summon one Pirate Captain and three Hordes of Pirate Raiders within Close range of the party. Does the captain recognize the ship that’s giving chase?",What ungentlemanly practices are the pirates in this area famous for?,Foul Weather - Reaction,"When the Open Water Countdown ticks down to an odd number, roll a d6. On a result of 4 or higher, the ship runs into a patch of foul weather, such as a fog bank that makes navigation difficult or a squall that threatens to capsize the ship. Each PC must succeed on a reaction roll using a relevant trait chosen by the GM or mark 1d4 Stress.",What makes this weather different from anything the PCs have experienced before? How do they coordinate with the crew to find their way through this hazard?,Here There Be Monsters - Reaction,"When the Open Water Countdown ticks down to an even number, roll a d6. On a result of 4 or higher, summon 1d4 Deep Sea Denizens.",What attracts these creatures to the ship? Is there any way to drive them offwithout combat?,,,
Vast Desert,2,Traversal,"A parched expanse of sandy dunes, desolate salt flats, and windblown rock formations.","Dehydrate, show desolate beauty, threaten danger on the horizon",14,"Acid Burrower, Desert Raiders (Jagged Knife Bandits), Landshark, Sandwyrm",Endless Sands - Passive,"Countdown (8). To cross the desert, the party must complete the countdown. It ticks down whenever a PC succeeds on an action roll to navigate the seemingly endless expanse.",How do the PCs travel through the desert? What beyond the extreme distance and lack of water makes this area difficult to cross?,Water Supply - Passive,"When the party starts their journey, place a number of tokens on this stat block equal to 1 + the number of PCs in the scene. Remove a token at the end of each long rest or when a PC fails an action roll to navigate the desert. When a token would be removed but there are none left, each PC must mark a HP and a Stress. A PC can add a token to this stat block by using a downtime move and making a successful Knowledge Roll to hunt for water.",What sorts of water-preserving flora or terrain features have the PCs heard might be found in this desert? How do the PCs collect and carry the water they find?,Shifting Sands - Passive,The ever-shifting dunes and the whipping wind make trailing creatures through this environment difficult. Action rolls to track creatures through the desert are made with disadvantage.,How do the dunes and landscape shift whenever the heroes rest? What is covered or uncovered by the wind?,Thunderstorm - Action,"Spend a Fear to have a torrential downpour soak the land. Each PC must either seek shelter from the storm or collect rainwater. Each PC who seeks shelter marks a Stress. The PCs who collect rainwater make a group action roll. • On a success with Hope, add 1d4 tokens to the Water Supply. • On a success with Fear, add 1 token to the Water Supply. • On a failure with Hope, each PC who took part in the group action roll marks a Stress. • On a failure with Fear, each PC who took part in the group action roll marks a Stress, and the PC who rolled the lowest takes 2d8+4 physical damage from the storm.",How does the storm look to the heroes as it rolls in from miles away? Is the storm natural or unnatural? How can you tell?,Sandstorm - Action,"Spend a Fear to summon a sandstorm that disorients and harries travelers. Each PC takes 2d6+3 physical damage. Until the sandstorm dissipates, a PC who makes an action roll must succeed on an Agility Reaction Roll to avoid the swirl of rocks and debris or take 2d6+3 physical damage.",What do the dwellers of this desert wear to weather the sandstorms? How are the dwelling places the party finds here designed to withstand the winds?,,,
Witch’s Hut,2,Exploration,"A rustic, windowless hut sitting atop two huge chicken legs.","Creep them out, delay them until the witch’s return, lock them inside, move to a different location, tempt them with magical oddities",14,"Chicken-Foot Hut, Enchanted Defenses (Gargoyle, Ravenous Mockery, Scarecrow), Valdenhax, The Witch’s Victims (Jack-o’-Lanterns, Redcap Biters)",Bigger on the Inside - Passive,"Though the hut’s exterior is a rustic single-room cottage, the interior is an ever-shifting estate of haunting splendor replete with numerous bedrooms, libraries, and indoor gardens, among other mysterious installations.",Is there any pattern to the way the hut rearranges itself? What is the most surprising location the PCs could find here?,Creepy Doll Collection - Passive,"Countdown (5). Throughout the hut, the PCs can see many, many porcelain or wooden dolls with strangely lifelike eyes. When the party first enters a doll’s line of sight, activate the countdown. It ticks down when a PC fails a roll or rolls with Fear. When it triggers, the dolls come to life and attack. Summon a number of living dolls (Redcap Biters) equal to twice the number of PCs.",Who were these dolls before? Is there any way to free them from their imprisonment?,Witches’ Brew - Passive,"The hut contains a workshop with every tool or component a witch could need, including a large iron cauldron set atop a smoldering fire. A PC who wants to use the workshop can make a Spellcast Roll to craft a magic potion or poison from the Consumables table. • Any Failure: The experiment blows up in their face—literally. The PC takes 2d10+2 magic damage. • Any Success: The PC rolls a number of d12s equal to 1 + their tier, adds the results together, and gains the consumable that matches that value on the Consumables table. If they critically succeeded, they can reroll any d12s showing a result of 1.",What sorts of concoctions does the witch who owns this hut specialize in? What would the witch do if they found the PCs using their things?,Dislocated - Reaction,"Time moves differently inside the Witch’s Hut. When the door to the hut is closed, roll a d6. On a result of 4 or higher, the hut moves to a different—often impossibly far–location that’s only revealed to the PCs when they open the hut’s door again. Why does the hut move so often?",Where does it wish to bring the PCs? Is there any way to aim it at a specific location?,,,,,,
Archmage’s Tower,3,Exploration,pierces the heavens and resonates with immense power.,"Collect magical energy, exhaust intruders, reveal the unknown, unleash bursts of magical power",16,"Alchemical Creations (Chimera, Lamia, Manticore), Archmage",Mystical Defenses - Passive,"Countdown (12). To climb the tower, the PCs must complete the countdown. On a failure or a roll with Fear, they trigger one of the archmage’s many arcane traps and hazards, taking 3d10 magic damage. On a failure with Fear, the damage dealt gains a bonus equal to the PC’s level.",What do the designs of the archmage’s defenses tell you about their specific area of expertise? What signature style or flourish do the traps and hazards all share?,Archmage’s Aerie - Passive,"The top floor of the tower is a many-chambered laboratory, library, and workshop containing everything needed to study magic in its highest forms. A PC with a Spellcast Trait can make a Knowledge Roll to partake in the archmage’s research. On a success, they gain a +1 bonus to their Spellcast Rolls until their next long rest. On a failure, their investigation goes wrong, and they take 3d8+4 magic damage.",What part of the aerie calls to you? What do the archmage’s notes reveal to you?,Amalgamated Adversaries - Reaction,Spend a Fear to summon two adversaries within Close range of a PC. Each adversary can use the other’s features as if they were their own.,Which creatures has the archmage chosen to combine? What do they hope to learn in doing so?,,,,,,,,,
Astral Realm,3,Traversal,"chic realm of energy and emotion, where the strong in spirit can reshape the rules of reality.","Attack their psyches, summon their subconscious fears, warp their perceptions",16,"Demon of Despair, Elemental Spark, Pain Priest, Psychic Vampires (Head Vampire, Night Children)",Out-of-Body Experience - Passive,"Because the party isn’t physically in this realm, Strength, Agility, and Finesse Rolls automatically fail. Additionally, when a character would mark a HP, they must lose a Hope or mark a Stress instead. If a character can’t mark a Stress, they must make a death move.",How does the projection of your mental self-image differ from your physical appearance? Which one do you consider the “real” you?,Mental Manifestations - Passive,"With a successful Knowledge Roll, PCs can alter the psychic environment, such as by inverting gravity or conjuring a rapidly self-assembling staircase. A PC can use a mental manifestation once per scene to gain advantage on a roll to navigate the Astral Realm.",Is the construct you manifest a memory from real life or a figment of your own imagination? What key detail do you focus on to make it more stable?,Matter Is Illusion - Passive,"Countdown (10). Time and distance are relative here, and simply moving through the space requires an act of will. To cross the Astral Realm, the party must complete the countdown using only Knowledge, Instinct, or Presence Rolls. On a failure with Fear, a PC takes 3d8 direct magic damage. Do you think or feel your way through this place?",What difference does it make here?,Astral Adversaries - Passive,"Adversaries in the Astral Realm are immune to physical damage, as they are psychic projections instead of flesh and blood.",How does an adversary’s astral form differ from their physical form? Why are these psychic projections drawn to the PCs?,,,,,,
Burning Heart of the Woods,3,Exploration,Thick indigo ash fills the air around a towering moss-covered tree that burns eternally with flames a sickly shade of blue.,"Beat out an uncanny rhythm for all to follow, corrupt the woods",16,"Beasts (Bear, Glass Snake), Elementals (Elemental Spark), Verdant Defenders (Dryad, Oak Treant, Stag Knight)",Chaos Magic Locus - Passive,"When a PC makes a Spellcast Roll, they must roll two Fear Dice and take the higher result.",What does it feel like to work magic in this chaos-touched place? What do you fear will happen if you lose control of the spell?,The Indigo Flame - Passive,"PCs who approach the central tree can make a Knowledge Roll to try to identify the magic that consumed this environment. • On a success: They learn three of the below details. On a success with Fear, they learn two. • On a failure: They can mark a Stress to learn one and gain advantage on the next action roll to investigate this environment. • Details: This is a result of Fallen magic. The corruption is spread through the ashen moss. It can be cleansed only by a ritual of nature magic with a Progress Countdown (8).",What Fallen cult corrupted these woods? What have they already done with the cursed wood and sap from this tree?,Grasping Vines - Action,"Animate vines bristling with thorns whip out from the underbrush to ensnare the PCs. A target must succeed on an Agility Reaction Roll or become Restrained and Vulnerable until they break free, clearing both conditions, with a successful Finesse or Strength Roll or by dealing 10 damage to the vines. When the target makes a roll to escape, they take 1d8+4 physical damage and lose a Hope.",What painful memories do the vines bring to the surface as they pierce flesh?,Charcoal Constructs - Action,Warped animals wreathed in indigo flame trample through a point of your choice. All targets within Close range of that point must make an Agility Reaction Roll. Targets who fail take 3d12+3 physical damage. Targets who succeed take half damage instead. Are these real animals consumed by the flame or merely constructs of the corrupting magic?,,Choking Ash - Reaction,"Countdown (Loop 6). When the PCs enter the Burning Heart of the Woods, activate the countdown. When it triggers, all characters must make a Strength or Instinct Reaction Roll. Targets who fail take 4d6+5 direct physical damage. Targets who succeed take half damage. Protective masks or clothes give advantage on the reaction roll.",What hallucinations does the ash induce? What incongruous taste does it possess?,,,
Castle Siege,3,Event,An active siege with an attacking force fighting to gain entry to a fortified castle.,"Bleed out the will to fight, breach the walls, build tension",17,"Mercenaries (Harrier, Sellsword, Spellblade, Weaponmaster), Noble Forces (Archer Squadron, Conscript, Elite Soldier, Knight of the Realm)",Secret Entrance - Passive,A PC can find or recall a secret way into the castle with a successful Instinct or Knowledge Roll.,How do they get in without revealing the pathway to the attackers? Are any of the defenders monitoring this path?,Siege Weapons (Environment Change) - Action,"Consequence Countdown (6). The attacking force deploys siege weapons to try to raze the defenders’ fortifications. Activate the countdown when the siege begins (for a protracted siege, make this a long-term countdown instead). When it triggers, the defenders’ fortifications have been breached and the attackers flood inside. You gain 2 Fear, then shift to the Pitched Battle environment and spotlight it.","What siege weapons are being deployed? Are they magical, mundane, or a mixture of both? What defenses must the characters overcome to storm the castle?",Reinforcements! - Action,"Summon a Knight of the Realm, a number of Tier 3 Minions equal to the number of PCs, and two adversaries of your choice within Far range of a chosen PC as reinforcements. The Knight of the Realm immediately takes the spotlight.",Who are they targeting first? What formation do they take?,Collateral Damage - Reaction,"When an adversary is defeated, you can spend a Fear to have a stray attack from a siege weapon hit a point on the battlefield. All targets within Very Close range of that point must make an Agility Reaction Roll. • Targets who fail take 3d8+3 physical or magic damage and must mark a Stress. • Targets who succeed must mark a Stress.",What debris is scattered by the attack? What is broken by the strike that can’t be easily mended?,,,,,,
Crystal Wasteland,3,Traversal,A harsh and alien landscape that shines with towers of glittering crystal.,"Cut them to their core, fracture their psyches, show their true reflection",16,"Adult Flickerfl y, Constructs, Elemental Spark, Vault Guardians, Whisper Wraiths",Harmonic Resonance - Passive,"The crystals here reverberate with magical energy. A PC can use a downtime move to try to Attune to the environment with a successful Spellcast Roll. While Attuned, the PC has advantage on Spellcast Rolls inside the Crystal Wasteland. The condition is cleared when the PC leaves the Crystal Wasteland.",How does attunement to this place alter your sensory experience of it? What sound or song from your childhood does this place conjure?,Gravitational Anomalies - Action,"Strange, localized phenomena dot the landscape, warping distance and direction. Spend a Fear to alter the gravity at a chosen point. Each target within Close range of that point must make a Knowledge Reaction Roll to calculate their new trajectories. Targets who fail take 3d8+4 physical damage as they are thrown up and away. Targets who succeed must mark a Stress or take half damage.",What does it feel like as your body and mind fight to reestablish equilibrium? Is there any way to use this to your advantage?,Arcane Refl ection - Action,Spend a Fear to have any number of PCs glimpse a reflection in the crystal of who they once were or might become. Each target must make an Instinct Reaction Roll. Targets who succeed see a vision of their better self and can replace one Experience. Targets who fail see a vision of their dark past—or an even darker future—and must mark a Stress. You gain a Fear for each target who failed.,Who do the PCs see on the other side of the crystal? How does it make them feel?,Razor-Sharp Terrain - Reaction,"When a PC fails a roll to navigate the wasteland, they must make a Finesse Reaction Roll. On a failure, they cut themselves on the sharp edges of the terrain. Shards of magic crystal become embedded in their wound and slowly grow, Crystallizing them. Activate a Crystal Countdown (1) for that PC. Until they remove the condition with a successful Knowledge Roll, a Crystallizing PC ticks up their Crystal Countdown at the start of each rest and gains a penalty to their Evasion equal to its value. The countdown ends when the condition is cleared.",What does the crystal look like as it grows? What does it feel like?,Psychic Shuffl e - Reaction,"When the PCs take a long rest, you can spend a Fear to swap their psyches. Collect all the players’ character sheets, then shuffle and randomly redistribute them. Each character sheet comes with that PC’s Domain cards and player aids. A PC can regain their psyche with a successful Knowledge Roll, at which point they trade sheets with the player who has their original character sheet.","How does it feel being in someone else’s skin? If you could choose to stay like them in one way, what would it be?",,,
Dragon’s Lair,3,Exploration,"A collection of gold, jewels, and artifacts in the heart of an active volcano.","Lure into the levels below, make escape impossible, tempt with treasure, wake the dragon",16,"The Dragon’s Minions (Drake, Wyvern), Young Fire Dragon",The Dragon Wakes - Passive,"Consequence Countdown (8). The dragon that amassed this treasure lies sleeping somewhere on, under, or near the hoard. When the PCs enter the lair, activate the countdown. When it triggers, the dragon awakens and each PC must succeed on a Presence Reaction Roll or mark a Stress. You gain a Fear for each Stress marked this way.",Where does this dragon slumber? What does it dream about?,Treasure Hoard - Passive,"At the heart of the lair sits a mountain of treasure. If the party wishes to locate the treasure, they must complete a Progress Countdown (12). When it triggers, the party can tick down the Consequence Countdown to search through the treasure mound by rolling a number of d12s equal to 1 + their tier on the Item or Consumable table (their choice).",How did the party learn of this collection? What do they hope to find here?,Volcanic Activity - Action,Spend a Fear to trigger a volcanic eruption. Each character must make an Agility Reaction Roll. Targets who fail are burned by gouts of lava and flame as the earth breaks around them and take 3d8+5 physical damage. Targets who succeed take half damage.,What paths of egress are blocked by the volcano’s shifting configuration? How do the PCs protect themselves from the stifling heat?,Watchdogs - Reaction,"When a PC fails a roll to navigate the lair, you can spend a Fear to summon 1d6 Drakes and up to two Wyverns, who appear within Close range of a PC and are immediately spotlighted. Why do these creatures serve the slumbering dragon?",What signs does the party find that foreshadow their presence?,,,,,,
Megastorm,3,Event,"An extreme weather event suddenly manifests, forcing the party to balance their own survival against the safety of others.","Blow hurricane winds, choke with mudslides, crumble structures, flood, throw debris, light up the sky",16,"Greater Water Elemental, Storm Titan",Stormfront - Passive,"Countdown (8). When the storm arrives, activate the countdown. It ticks down when a PC rolls with Hope. When it triggers, the storm disperses or moves on to a different area.",Where is the safest place to weather the storm? What are the people here willing to risk their lives for?,Hazardous Conditions - Passive,"The Megastorm’s extreme wind, fog, and cloud cover make navigating the entire area difficult. PCs can’t move as part of an action roll without succeeding on an Agility Reaction Roll.",Who else lost in the gyre? How can you lead them out?,Bomb Cyclone - Action,"Spend a Fear to summon an extreme weather event, such as a thunderstorm or tornado, at a point of your choice. Each target within Close range of that point must succeed on a reaction roll using a trait you choose to avoid being pummeled by hail, thrown into the air, blasted by lightning, or a similar effect. Targets who fail take 2d10+2 damage of a type you choose.",Is this the worst weather any of the PCs have experienced? What in the immediate area can the PCs use to protect themselves?,Stormheart - Action,"Spend a Fear to reveal the living battery of the Megastorm. Summon a Storm Giant or Greater Water Elemental within Far range of a PC, then immediately spotlight them. Until this adversary is defeated, the “Stormfront” countdown doesn’t tick down. When this adversary is defeated, the Megastorm ends. Did this creature conjure the storm for their own purposes, or do they serve an even greater entity? Why did they designate this place for destruction?",,Panic in the Streets - Action,"The Megastorm is sowing fear and chaos among the locals. Describe how the storm puts an NPC in danger. If the PC who next takes the spotlight doesn’t use their action to rescue the endangered NPC, you gain a Fear.","Who’s taking advantage of the situation? Who’s supposed to be in charge here, and what happened to them?",,,
Pitched Battle,3,Event,A massive combat between two large groups of armed combatants.,"Seize people, land, and wealth, spill blood for greed and glory",17,"Mercenaries (Sellsword, Harrier, Spellblade, Weaponmaster), Noble Forces (Archer Squadron, Conscript, Elite Soldier, Knight of the Realm)",Adrift on a Sea of Steel - Passive,"Traversing a battlefield during an active combat is extremely dangerous. A PC must succeed on an Agility Roll to move at all, and can only go up to Close range on a success. If an adversary is within Melee range of them, they must mark a Stress to make an Agility Roll to move. Do the combatants mistake you for the enemy or consider you interlopers? Can you tell the difference between friend and foe in the fray?",,Raze and Pillage - Action,"The attacking force raises the stakes by lighting a fire, stealing a valuable asset, kidnapping an important person, or killing the populace.",What is valuable here? Who is most vulnerable?,War Magic - Action,Spend a Fear as a mage from one side uses large-scale destructive magic. Pick a point on the battlefield within Very Far range of the mage. All targets within Close range of that point must make an Agility Reaction Roll. Targets who fail take 3d12+8 magic damage and must mark a Stress.,"What form does the attack take—fireball, raining acid, a storm of blades? What tactical objective is this attack meant to accomplish, and what comes next?",Reinforcements! - Action,"Summon a Knight of the Realm, a number of Tier 3 Minions equal to the number of PCs, and two adversaries of your choice within Far range of a chosen PC as reinforcements. The Knight of the Realm immediately takes the spotlight.",Who are they targeting first? What formation do they take?,,,,,,
Sunken Citadel,3,Exploration,The sunken ruins of a long-lost civilization filled with ancient technology and dark magic.,"Draw them deep, drown them, reveal ancient wonders",16,"Cursed Merfolk, Deep Dweller, Plesiosaurus",Underwater Environment - Passive,"This environment is underwater (see the “Moving and Fighting Underwater” rules on page 168 of the core rulebook). In addition to those rules, a creature who breathes air tracks their supply with an Air Supply Countdown. Its starting value is equal to 3 + their tier, and it ticks down when they take an action. If a PC fails an action roll or rolls with Fear, you can use a GM move to tick down their countdown an additional time. If the roll is a failure with Fear, you can tick it down twice instead. Once their countdown triggers, a PC must mark a Stress whenever they take an action underwater until they resurface. Have you ever known anyone who drowned?",What do you think about to keep calm and stretch your air supply?,Air Pockets - Passive,A PC can reset their their Air Supply Countdown to its starting value by locating a pocket of air with a successful Knowledge or Instinct Roll.,What signs or structures do you look for? What does it feel like to know this might be the last breath you take?,Lost Technology - Passive,The ruins are carved with strange magical runes and littered with lost technology. A PC can make a Knowledge Roll to learn useful information about this lost civilization from any runes or devices they come across.,Who once called this place home? How did their technology work? Why were they ultimately destroyed and cast down into the depths?,Deepwater Denizens - Action,"Spend a Fear to summon up to two Deep Dwellers and 1d6 Cursed Merfolk who try to bind the PCs to their will. These adversaries appear at Close range of a PC, then one immediately takes the spotlight. Why do these creatures stay here among the ruins? Are they unwilling or unable to resurrect this once-prosperous civilization?",,,,,,,
